user_id,occurred_at,action,user_type
0,6/5/2014 9:30,sent_weekly_digest,1
0,13-05-2014 09:30,sent_weekly_digest,1
0,20-05-2014 09:30,sent_weekly_digest,1
0,27-05-2014 09:30,sent_weekly_digest,1
0,3/6/2014 9:30,sent_weekly_digest,1
0,3/6/2014 9:30,email_open,1
0,10/6/2014 9:30,sent_weekly_digest,1
0,10/6/2014 9:30,email_open,1
0,17-06-2014 09:30,sent_weekly_digest,1
0,17-06-2014 09:30,email_open,1
0,24-06-2014 09:30,sent_weekly_digest,1
0,1/7/2014 9:30,sent_weekly_digest,1
0,8/7/2014 9:30,sent_weekly_digest,1
0,15-07-2014 09:30,sent_weekly_digest,1
0,22-07-2014 09:30,sent_weekly_digest,1
0,29-07-2014 09:30,sent_weekly_digest,1
0,29-07-2014 09:30,email_open,1
0,5/8/2014 9:30,sent_weekly_digest,1
0,12/8/2014 9:30,sent_weekly_digest,1
0,19-08-2014 09:30,sent_weekly_digest,1
0,19-08-2014 09:30,email_open,1
0,26-08-2014 09:30,sent_weekly_digest,1
4,6/5/2014 9:30,sent_weekly_digest,3
4,13-05-2014 09:30,sent_weekly_digest,3
4,13-05-2014 09:30,email_open,3
4,13-05-2014 09:31,email_clickthrough,3
4,20-05-2014 09:30,sent_weekly_digest,3
4,20-05-2014 09:30,email_open,3
4,20-05-2014 09:31,email_clickthrough,3
4,27-05-2014 09:30,sent_weekly_digest,3
4,3/6/2014 9:30,sent_weekly_digest,3
4,10/6/2014 9:30,sent_weekly_digest,3
4,17-06-2014 09:30,sent_weekly_digest,3
4,24-06-2014 09:30,sent_weekly_digest,3
4,24-06-2014 09:30,email_open,3
4,24-06-2014 09:31,email_clickthrough,3
4,1/7/2014 9:30,sent_weekly_digest,3
4,1/7/2014 9:30,email_open,3
4,1/7/2014 9:30,email_clickthrough,3
4,8/7/2014 9:30,sent_weekly_digest,3
4,15-07-2014 09:30,sent_weekly_digest,3
4,22-07-2014 09:30,sent_weekly_digest,3
4,29-07-2014 09:30,sent_weekly_digest,3
4,5/8/2014 9:30,sent_weekly_digest,3
4,12/8/2014 9:30,sent_weekly_digest,3
4,12/8/2014 9:30,email_open,3
4,19-08-2014 09:30,sent_weekly_digest,3
4,26-08-2014 09:30,sent_weekly_digest,3
8,6/5/2014 9:30,sent_weekly_digest,3
8,13-05-2014 09:30,sent_weekly_digest,3
8,20-05-2014 09:30,sent_weekly_digest,3
8,27-05-2014 09:30,sent_weekly_digest,3
8,3/6/2014 9:30,sent_weekly_digest,3
8,3/6/2014 9:30,email_open,3
8,10/6/2014 9:30,sent_weekly_digest,3
8,17-06-2014 09:30,sent_weekly_digest,3
8,24-06-2014 09:30,sent_weekly_digest,3
8,1/7/2014 9:30,sent_weekly_digest,3
8,8/7/2014 9:30,sent_weekly_digest,3
8,8/7/2014 9:30,email_open,3
8,15-07-2014 09:30,sent_weekly_digest,3
8,22-07-2014 09:30,sent_weekly_digest,3
8,29-07-2014 09:30,sent_weekly_digest,3
8,29-07-2014 09:30,email_open,3
8,29-07-2014 09:30,email_clickthrough,3
8,5/8/2014 9:30,sent_weekly_digest,3
8,12/8/2014 9:30,sent_weekly_digest,3
8,19-08-2014 09:30,sent_weekly_digest,3
8,26-08-2014 09:30,sent_weekly_digest,3
11,6/5/2014 9:30,sent_weekly_digest,1
11,13-05-2014 09:30,sent_weekly_digest,1
11,20-05-2014 09:30,sent_weekly_digest,1
11,27-05-2014 09:30,sent_weekly_digest,1
11,3/6/2014 9:30,sent_weekly_digest,1
11,10/6/2014 9:30,sent_weekly_digest,1
11,10/6/2014 9:30,email_open,1
11,17-06-2014 09:30,sent_weekly_digest,1
11,17-06-2014 09:30,email_open,1
11,17-06-2014 09:30,email_clickthrough,1
11,24-06-2014 09:30,sent_weekly_digest,1
11,1/7/2014 9:30,sent_weekly_digest,1
11,8/7/2014 9:30,sent_weekly_digest,1
11,8/7/2014 9:30,email_open,1
11,15-07-2014 09:30,sent_weekly_digest,1
11,22-07-2014 09:30,sent_weekly_digest,1
11,29-07-2014 09:30,sent_weekly_digest,1
11,29-07-2014 09:30,email_open,1
11,29-07-2014 09:31,email_clickthrough,1
11,5/8/2014 9:30,sent_weekly_digest,1
11,12/8/2014 9:30,sent_weekly_digest,1
11,19-08-2014 09:30,sent_weekly_digest,1
11,26-08-2014 09:30,sent_weekly_digest,1
11,26-08-2014 09:30,email_open,1
17,7/5/2014 9:30,sent_weekly_digest,1
17,14-05-2014 09:30,sent_weekly_digest,1
17,21-05-2014 09:30,sent_weekly_digest,1
17,21-05-2014 09:30,email_open,1
17,28-05-2014 09:30,sent_weekly_digest,1
